Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
tsne-mp,ff040983e7d7397c673123f2129704ae8e617dde,1491184061,Daniel Rapp,Python,1,48,29,11,8,Near final changes for docker/build
tsne-mp,ff040983e7d7397c673123f2129704ae8e617dde,1491184061,Daniel Rapp,Total,1,117,70,29,18,Near final changes for docker/build
tsne-mp,d7447950c0dd17a7bb9cf6c16b959718c51b0ad6,1491153439,Brian Jones,C Header,0,-1,-1,0,0,Made vptree::search thread-safe by turning tau into local variable instead of an instance variable. Parallelized nearest neighbor search with OpenMP parallel for.
tsne-mp,d7447950c0dd17a7bb9cf6c16b959718c51b0ad6,1491153439,Brian Jones,C++,0,9,3,0,6,Made vptree::search thread-safe by turning tau into local variable instead of an instance variable. Parallelized nearest neighbor search with OpenMP parallel for.
tsne-mp,d7447950c0dd17a7bb9cf6c16b959718c51b0ad6,1491153439,Brian Jones,Total,0,8,2,0,6,Made vptree::search thread-safe by turning tau into local variable instead of an instance variable. Parallelized nearest neighbor search with OpenMP parallel for.
tsne-mp,625ae6a94c8b8e0cbc763dbdf28466ff788e8ae1,1491078041,Daniel Rapp,Dockerfile,2,-6,-5,0,-1,"Setup Dockerfiles for build, dev and prod usage"
tsne-mp,625ae6a94c8b8e0cbc763dbdf28466ff788e8ae1,1491078041,Daniel Rapp,Python,0,-1,-1,0,0,"Setup Dockerfiles for build, dev and prod usage"
tsne-mp,625ae6a94c8b8e0cbc763dbdf28466ff788e8ae1,1491078041,Daniel Rapp,Total,2,-7,-6,0,-1,"Setup Dockerfiles for build, dev and prod usage"
tsne-mp,2edce91c463c91bdb8313153303a4bf6898c5bcd,1491057396,Daniel Rapp,Autoconf,0,-1,-1,0,0,Noticed some issues when other projects depend on the wheels generated... working on a resolution
tsne-mp,2edce91c463c91bdb8313153303a4bf6898c5bcd,1491057396,Daniel Rapp,Markdown,0,4,4,0,0,Noticed some issues when other projects depend on the wheels generated... working on a resolution
tsne-mp,2edce91c463c91bdb8313153303a4bf6898c5bcd,1491057396,Daniel Rapp,Python,0,4,4,0,0,Noticed some issues when other projects depend on the wheels generated... working on a resolution
tsne-mp,2edce91c463c91bdb8313153303a4bf6898c5bcd,1491057396,Daniel Rapp,Plain Text,0,2,2,0,0,Noticed some issues when other projects depend on the wheels generated... working on a resolution
tsne-mp,2edce91c463c91bdb8313153303a4bf6898c5bcd,1491057396,Daniel Rapp,Total,0,9,9,0,0,Noticed some issues when other projects depend on the wheels generated... working on a resolution
