Repo,CommitHash,TimeStamp,Language,Files,Lines,Code,Comments,Blanks
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,BASH,10,114,51,27,36
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,Dockerfile,2,12,7,0,5
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,HTML,2,135,118,0,17
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,Markdown,1,31,31,0,0
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,Notebook,2,1231,1231,0,0
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,Python,13,760,538,36,186
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,Plain Text,1,13,13,0,0
Unicorn,b98e02af3de7406231cac20afda9f64da02b4810,1537216100,Total,31,2296,1989,63,244
Unicorn,e4f89580ac00aefb500c84f1dbe85bea67461ff2,1536182787,BASH,10,114,51,27,36
Unicorn,e4f89580ac00aefb500c84f1dbe85bea67461ff2,1536182787,Dockerfile,2,12,7,0,5
Unicorn,e4f89580ac00aefb500c84f1dbe85bea67461ff2,1536182787,Markdown,1,16,16,0,0
Unicorn,e4f89580ac00aefb500c84f1dbe85bea67461ff2,1536182787,Notebook,1,2701,2701,0,0
Unicorn,e4f89580ac00aefb500c84f1dbe85bea67461ff2,1536182787,Python,11,494,353,23,118
Unicorn,e4f89580ac00aefb500c84f1dbe85bea67461ff2,1536182787,Plain Text,1,12,12,0,0
Unicorn,e4f89580ac00aefb500c84f1dbe85bea67461ff2,1536182787,Total,26,3349,3140,50,159
Unicorn,bf97b035cfe98f165ef51894ee99872a349c5ab6,1527950916,BASH,10,114,51,27,36
Unicorn,bf97b035cfe98f165ef51894ee99872a349c5ab6,1527950916,Dockerfile,2,12,7,0,5
Unicorn,bf97b035cfe98f165ef51894ee99872a349c5ab6,1527950916,Markdown,1,4,4,0,0
Unicorn,bf97b035cfe98f165ef51894ee99872a349c5ab6,1527950916,Python,3,122,80,15,27
Unicorn,bf97b035cfe98f165ef51894ee99872a349c5ab6,1527950916,Plain Text,1,5,5,0,0
Unicorn,bf97b035cfe98f165ef51894ee99872a349c5ab6,1527950916,Total,17,257,147,42,68
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,BASH,9,601,457,55,89
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Dockerfile,4,12,6,4,2
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,HCL,70,5146,3098,1267,781
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,JSON,10,1018,1018,0,0
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Makefile,10,432,303,27,102
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Markdown,12,546,546,0,0
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Notebook,1,429,429,0,0
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Python,48,2839,2252,96,491
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Shell,4,261,204,42,15
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Plain Text,1,10,10,0,0
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,YAML,6,213,187,15,11
Ghost,b315459509dd494353a4146f90bc3f98f49f2aca,1537197095,Total,175,11507,8510,1506,1491
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,BASH,9,601,457,55,89
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Dockerfile,4,12,6,4,2
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,HCL,70,5146,3098,1267,781
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,JSON,10,1018,1018,0,0
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Makefile,10,432,303,27,102
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Markdown,12,546,546,0,0
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Notebook,1,377,377,0,0
