Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
ThunderWeasel,ba81086ad7f778fa34ea3e8f3e76391a989f297f,1536272016,Leonhard Euler,Total,0,19,19,0,0,adding to keep urls and to show maximal false positives from each classifier
ThunderWeasel,07314cc95fcc6610c21e4c169a85ec5de294450b,1536271069,Edsger Dijkstra,Python,0,-95,2,-88,-9,regex handles foreign but not camelcase
ThunderWeasel,07314cc95fcc6610c21e4c169a85ec5de294450b,1536271069,Edsger Dijkstra,Total,0,-95,2,-88,-9,regex handles foreign but not camelcase
ThunderWeasel,70dd0af68e1117ea4ba364ce86091d7a9be39b82,1536205869,Edsger Dijkstra,Python,0,-1,-8,7,0,final tests
ThunderWeasel,70dd0af68e1117ea4ba364ce86091d7a9be39b82,1536205869,Edsger Dijkstra,Total,0,-1,-8,7,0,final tests
ThunderWeasel,c627c0a5250125e79aeab510f8acd81f52becc2e,1536204382,Edsger Dijkstra,Python,0,4,4,0,0,tests pass
ThunderWeasel,c627c0a5250125e79aeab510f8acd81f52becc2e,1536204382,Edsger Dijkstra,Plain Text,0,-68,-68,0,0,tests pass
ThunderWeasel,c627c0a5250125e79aeab510f8acd81f52becc2e,1536204382,Edsger Dijkstra,Total,0,-64,-64,0,0,tests pass
ThunderWeasel,bc43c96e3649d414963d98f1f02f26a55fc0293a,1536200852,Edsger Dijkstra,Python,0,232,142,75,15,code complete; working out bugs
ThunderWeasel,bc43c96e3649d414963d98f1f02f26a55fc0293a,1536200852,Edsger Dijkstra,Plain Text,0,82,82,0,0,code complete; working out bugs
ThunderWeasel,bc43c96e3649d414963d98f1f02f26a55fc0293a,1536200852,Edsger Dijkstra,Total,0,314,224,75,15,code complete; working out bugs
ThunderWeasel,ba65cd186e43afcdd26b905c141f531f060526af,1536191099,Marvin Minsky,Python,1,201,156,1,44,Add script for loading common crawl from html_results_table to url_labels in stage
ThunderWeasel,ba65cd186e43afcdd26b905c141f531f060526af,1536191099,Marvin Minsky,Total,1,201,156,1,44,Add script for loading common crawl from html_results_table to url_labels in stage
ThunderWeasel,a158fae723f2c241b915703d46a3bea1c23600ec,1536182685,John Nash,Notebook,0,99,99,0,0,eod wednesday
ThunderWeasel,a158fae723f2c241b915703d46a3bea1c23600ec,1536182685,John Nash,Python,0,1,1,0,0,eod wednesday
ThunderWeasel,a158fae723f2c241b915703d46a3bea1c23600ec,1536182685,John Nash,Total,0,100,100,0,0,eod wednesday
ThunderWeasel,88f769b1b7b73fa680d223514786d92a71475b78,1536172467,Leonhard Euler,Notebook,0,4,4,0,0,moving reference and example variables out of random_forest.py
ThunderWeasel,88f769b1b7b73fa680d223514786d92a71475b78,1536172467,Leonhard Euler,Python,1,12,3,6,3,moving reference and example variables out of random_forest.py
ThunderWeasel,88f769b1b7b73fa680d223514786d92a71475b78,1536172467,Leonhard Euler,Plain Text,0,1,1,0,0,moving reference and example variables out of random_forest.py
ThunderWeasel,88f769b1b7b73fa680d223514786d92a71475b78,1536172467,Leonhard Euler,Total,1,17,8,6,3,moving reference and example variables out of random_forest.py
ThunderWeasel,e7b7d5c4b7b114b50b6cc7e8f12ca7dff444d535,1536170137,John Nash,Notebook,0,630,630,0,0,notebook updates
ThunderWeasel,e7b7d5c4b7b114b50b6cc7e8f12ca7dff444d535,1536170137,John Nash,Total,0,630,630,0,0,notebook updates
ThunderWeasel,8e74170bc67b053254ad31e9d3ab230c05a60869,1536169053,Leonhard Euler,Notebook,0,148,148,0,0,multiple updates
ThunderWeasel,8e74170bc67b053254ad31e9d3ab230c05a60869,1536169053,Leonhard Euler,Total,0,148,148,0,0,multiple updates
ThunderWeasel,4a8573eff1bc530de139249c73e25747ccdbc50a,1536157553,John Nash,Notebook,1,158,158,0,0,starting notebook
ThunderWeasel,4a8573eff1bc530de139249c73e25747ccdbc50a,1536157553,John Nash,Total,1,158,158,0,0,starting notebook
ThunderWeasel,98d6d2f8bc3928770d221c2a9a57efcfcebae627,1536102471,Edsger Dijkstra,Python,2,88,30,41,17,checkpoint
ThunderWeasel,98d6d2f8bc3928770d221c2a9a57efcfcebae627,1536102471,Edsger Dijkstra,Total,2,88,30,41,17,checkpoint
ThunderWeasel,02758de0fd8e52253f6d7e79953b52539c51c78d,1536095406,Marvin Minsky,Python,0,48,43,0,5,Adjusted the PageDetails to support a har property as per Dallan's request as well as a redirect_urls
ThunderWeasel,02758de0fd8e52253f6d7e79953b52539c51c78d,1536095406,Marvin Minsky,Total,0,48,43,0,5,Adjusted the PageDetails to support a har property as per Dallan's request as well as a redirect_urls
ThunderWeasel,169cc0abaa6d13f99db6958b032350205c791923,1536081422,Dennis Ritchie,Python,0,0,-11,11,0,removed bing as an operator
ThunderWeasel,169cc0abaa6d13f99db6958b032350205c791923,1536081422,Dennis Ritchie,Total,0,0,-11,11,0,removed bing as an operator
ThunderWeasel,15fb763f119b2502bd5d62e506e4ae7265665eca,1536081362,Leonhard Euler,Notebook,0,-1,-1,0,0,removed unused import
ThunderWeasel,15fb763f119b2502bd5d62e506e4ae7265665eca,1536081362,Leonhard Euler,Total,0,-1,-1,0,0,removed unused import
ThunderWeasel,feccdc5bac4918ce9974f895a3efdfd23ed09b5b,1536081218,Leonhard Euler,Notebook,0,5,5,0,0,accounting for foreign labels tagged as f_phish in the counts
